id_artista;id_musica
01a02690-0cc1-721d-98dd-5c49a6d3673b;01a02690-22e2-7774-a1a3-e4d0a6691477
01a02690-0cc1-721d-98dd-5c49a6d3673b;01a02690-22e2-7774-a1a3-e4d1b55e276f
01a02690-0cc1-721d-98dd-5c49a6d3673b;01a02690-22e2-7774-a1a3-e4d2e7cdd23d
01a02690-0cc1-721d-98dd-5c4a16cad224;01a02690-22e2-7774-a1a3-e4d36a2f4ffc
01a02690-0cc1-721d-98dd-5c4b1ce189e9;01a02690-22e2-7774-a1a3-e4d49c9b6ca3
01a02690-0cc1-721d-98dd-5c4c86586426;01a02690-22e2-7774-a1a3-e4d5ee934892
01a02690-0cc1-721d-98dd-5c4c86586426;01a02690-22e2-7774-a1a3-e4d6658eb009
01a02690-0cc1-721d-98dd-5c4df4e88970;01a02690-22e2-7774-a1a3-e4d70e2ddff6
01a02690-0cc1-721d-98dd-5c4e20a60093;01a02690-22e2-7774-a1a3-e4d8e0566b50
01a02690-0cc1-721d-98dd-5c4e20a60093;01a02690-22e2-7774-a1a3-e4d96b3d9b8c
01a02690-0cc1-721d-98dd-5c4e20a60093;01a02690-22e2-7774-a1a3-e4daa5fd64c1
01a02690-0cc1-721d-98dd-5c4f177edf0d;01a02690-22e2-7774-a1a3-e4db7970b802
01a02690-0cc1-721d-98dd-5c507d15603a;01a02690-22e2-7774-a1a3-e4dceb5ddb5d
01a02690-0cc1-721d-98dd-5c511d5d126b;01a02690-22e2-7774-a1a3-e4ddaf1c2fcc
01a02690-0cc1-721d-98dd-5c511d5d126b;01a02690-22e2-7774-a1a3-e4de2cb68e51
01a02690-0cc1-721d-98dd-5c511d5d126b;01a02690-22e2-7774-a1a3-e4dfda2d843d
01a02690-0cc1-721d-98dd-5c511d5d126b;01a02690-22e2-7774-a1a3-e4e081549972
01a02690-0cc1-721d-98dd-5c511d5d126b;01a02690-22e2-7774-a1a3-e4e109d1d1a5
01a02690-0cc1-721d-98dd-5c511d5d126b;01a02690-22e2-7774-a1a3-e4e2304ab75e
01a02690-0cc1-721d-98dd-5c511d5d126b;01a02690-22e2-7774-a1a3-e4e39e4720e8
01a02690-0cc1-721d-98dd-5c511d5d126b;01a02690-22e2-7774-a1a3-e4e4f6a419f9
01a02690-0cc1-721d-98dd-5c511d5d126b;01a02690-22e2-7774-a1a3-e4e57f724c69
01a02690-0cc1-721d-98dd-5c511d5d126b;01a02690-22e2-7774-a1a3-e4e6b6c725c0
01a02690-0cc1-721d-98dd-5c511d5d126b;01a02690-22e2-7774-a1a3-e4e7483b8381
01a02690-0cc1-721d-98dd-5c511d5d126b;01a02690-22e2-7774-a1a3-e4e873a69d37
01a02690-0cc1-721d-98dd-5c511d5d126b;01a02690-22e2-7774-a1a3-e4e97126edf0
01a02690-0cc1-721d-98dd-5c511d5d126b;01a02690-22e2-7774-a1a3-e4ea795f519f
01a02690-0cc1-721d-98dd-5c511d5d126b;01a02690-22e2-7774-a1a3-e4eb44b33423
01a02690-0cc1-721d-98dd-5c511d5d126b;01a02690-22e2-7774-a1a3-e4ec3f88d4b3
01a02690-0cc1-721d-98dd-5c526513cfb3;01a02690-22e2-7774-a1a3-e4eda13800ee
01a02690-0cc1-721d-98dd-5c53a036a128;01a02690-22e3-7064-9388-0fa7a95884d7
01a02690-0cc1-721d-98dd-5c53a036a128;01a02690-22e3-7064-9388-0fa8483ad62a
01a02690-0cc1-721d-98dd-5c53a036a128;01a02690-22e3-7064-9388-0fa9fb432696
01a02690-0cc1-721d-98dd-5c53a036a128;01a02690-22e3-7064-9388-0faa489ffb66
01a02690-0cc1-721d-98dd-5c53a036a128;01a02690-22e3-7064-9388-0fab7c1e2b25
01a02690-0cc1-721d-98dd-5c53a036a128;01a02690-22e3-7064-9388-0fac1c013912
01a02690-0cc1-721d-98dd-5c54f0e717ac;01a02690-22e3-7064-9388-0fad7f898e5e
01a02690-0cc1-721d-98dd-5c552642cd84;01a02690-22e3-7064-9388-0fae31a8f398
01a02690-0cc1-721d-98dd-5c552642cd84;01a02690-22e3-7064-9388-0faf96ca2d6c
01a02690-0cc1-721d-98dd-5c552642cd84;01a02690-22e3-7064-9388-0fb066baf4b5
01a02690-0cc1-721d-98dd-5c552642cd84;01a02690-22e3-7064-9388-0fb17a8aaad3
01a02690-0cc1-721d-98dd-5c5648720f36;01a02690-22e3-7064-9388-0fb24511f28a
01a02690-0cc1-721d-98dd-5c574cc86f09;01a02690-22e3-7064-9388-0fb3d25f51a3
01a02690-0cc1-721d-98dd-5c574cc86f09;01a02690-22e3-7064-9388-0fb4954a72af
01a02690-0cc1-721d-98dd-5c5891bf4541;01a02690-22e3-7064-9388-0fb5fe9dbfb4
01a02690-0cc1-721d-98dd-5c59d07fe023;01a02690-22e3-7064-9388-0fb65c39297e
01a02690-0cc1-721d-98dd-5c5abe694a80;01a02690-22e3-7064-9388-0fb77f2d582d
01a02690-0cc1-721d-98dd-5c5b9618d017;01a02690-22e3-7064-9388-0fb8918bda04
01a02690-0cc1-721d-98dd-5c5c60ec1cb5;01a02690-22e3-7064-9388-0fb9d9b7fb24
01a02690-0cc1-721d-98dd-5c5daecf2621;01a02690-22e3-7064-9388-0fba5453cf26
01a02690-0cc1-721d-98dd-5c5e7edb1339;01a02690-22e3-7064-9388-0fbbf43d0467
01a02690-0cc1-721d-98dd-5c5ffb52558e;01a02690-22e3-7064-9388-0fbc75ed9a98
01a02690-0cc1-721d-98dd-5c60a4179588;01a02690-22e3-7064-9388-0fbda77815d9
01a02690-0cc1-721d-98dd-5c61e5646acc;01a02690-22e3-7064-9388-0fbe24834d3e
01a02690-0cc1-721d-98dd-5c62b58bd9f1;01a02690-22e3-7064-9388-0fbfd14c71c0
01a02690-0cc1-721d-98dd-5c6316787491;01a02690-22e3-7064-9388-0fc0a0b26ed4
01a02690-0cc1-721d-98dd-5c6438bcfc77;01a02690-22e3-7064-9388-0fc1a4a4e4e5
01a02690-0cc1-721d-98dd-5c6438bcfc77;01a02690-22e3-7064-9388-0fc2b18c8a2c
01a02690-0cc1-721d-98dd-5c654af8b116;01a02690-22e3-7064-9388-0fc3f03b21fd
01a02690-0cc1-721d-98dd-5c667e948453;01a02690-22e3-7064-9388-0fc49cb1e89a
01a02690-0cc1-721d-98dd-5c667e948453;01a02690-22e3-7064-9388-0fc5d591f441
01a02690-0cc1-721d-98dd-5c667e948453;01a02690-22e3-7064-9388-0fc659c13523
01a02690-0cc1-721d-98dd-5c667e948453;01a02690-22e3-7064-9388-0fc77d04228e
01a02690-0cc1-721d-98dd-5c667e948453;01a02690-22e3-7064-9388-0fc8dc450ca1
01a02690-0cc1-721d-98dd-5c67d4ef111e;01a02690-22e3-7064-9388-0fc9f018d898
01a02690-0cc1-721d-98dd-5c67d4ef111e;01a02690-22e3-7064-9388-0fcae56dec6d
01a02690-0cc1-721d-98dd-5c681dbf88d5;01a02690-22e3-7064-9388-0fcbc28a5079
