artista;musica;pontos;pts_ganho;pts_calc;data
Bad Bunny;NUEVAYoL;2030;480;1,088;20260819
Post Malone;Sunflower;2026;-469;3,592;20260819
Swae Lee;Sunflower;2026;-469;3,592;20260819
Kimo Sounds;Not for Everyone;2024;204;0,006;20260819
Taylor Swift;The Fate of Ophelia;1997;-584;3,707;20260819
Justin Bieber;Beauty and a Beat;1968;169;2,78;20260819
LOVIXX STOSLIV;dont tell your dreams to everybody;1959;103;0,026;20260819
Michael Jackson;Beat It;1949;-728;0,989;20260819
Rockin' Jukebox;Storm in my heart;1940;60;0,034;20260819
River;Love Me Where It Hurts;1930;791;0,016;20260819
Luz;Love Me Where It Hurts;1930;791;0,016;20260819
Neil Diamond;Sweet Caroline;1892;89;1,535;20260819
Ariana Grande;petal;1884;432;0,113;20260819
Haruka Aoki;Tsukue Sasuru;1875;94;0,039;20260819
Stray Kids;This & That;1868;-1243;0,107;20260819
Sia;Unstoppable;1860;966;7,723;20260819
Martin Garrix;Repeat It;1856;1102;0,123;20260819
Ed Sheeran;Repeat It;1856;1102;0,123;20260819
Max McNown;Better Me For You;1851;268;0,747;20260819
James Blunt;Tastes Like Summer;1837;-356;0,02;20260819
Lady Gaga;Die With A Smile;1820;308;7,632;20260819
Bruno Mars;Die With A Smile;1820;308;7,632;20260819
Aitana;SUPERESTRELLA;1815;-170;0,377;20260819
ABBA;Dancing Queen;1811;61;1,182;20260819
Coldplay;Viva la Vida;1803;353;7,079;20260819
Madonna;Love Sensation;1769;-7;0,121;20260819
Kylie Minogue;Love Sensation;1769;-7;0,121;20260819
Jax Wilder;Dont Wait Til She's Done;1764;1764;0,002;20260819
Phil Collins;In the Air Tonight;1708;530;1,348;20260819
Christina Perri;A Thousand Years;1703;494;8,395;20260819
a-ha;Take On Me;1688;1592;0,783;20260819
Bonnie Tyler;It's a Heartache;1677;-2202;0,195;20260819
Dirty Thirty;Festivalwecker;1667;60;0,095;20260819
Jungle;Someday, Somewhere;1634;319;0,03;20260819
JAS;Die Jugend hat Angst;1618;493;0,003;20260819
Mauvais Djo;Pilé;1574;-674;0,169;20260819
Oasis;Wonderwall;1558;378;1,5;20260819
Ella Langley;Loving Life Again;1542;274;0,173;20260819
Tom Odell;Another Love;1540;530;2,76;20260819
Spitz;Unknown Thread;1538;0;0,02;20260819
Bloc Party;Pigwig;1535;-2373;0,005;20260819
Creedence Clearwater Revival;Have You Ever Seen the Rain;1529;577;0,947;20260819
King Gnu;GO GHOST;1526;131;0,038;20260819
Alphaville;Forever Young;1515;-364;1,357;20260819
IMP.;PINKY. ni narouyo 2026;1508;-60;0,003;20260819
County Line Glow;One More;1508;-458;0,009;20260819
LEO;Tenderly;1495;1495;0,001;20260819
John Denver;Take Me Home, Country Roads;1489;240;0,741;20260819
Luke Combs;Be By You;1487;-290;0,355;20260819
Yuuri;Livin' On A Prayer;1479;458;0,003;20260819
Justen de Wildt;Cheerio;1465;-29;0,184;20260819
Mrs. GREEN APPLE;Brand New;1450;28;0,058;20260819
Ofenbach;Four To The Floor;1447;520;0,045;20260819
Starsailor;Four To The Floor;1447;520;0,045;20260819
SIENNA SPIRO;Material Lover;1440;301;0,272;20260819
XXXTENTACION;Moonlight;1439;-1054;0,887;20260819
Prospa;Free Your Mind;1433;389;0,122;20260819
Cloonee;Free Your Mind;1433;389;0,122;20260819
Metallica;Enter Sandman;1425;-247;1,707;20260819
Hatsuboshi Gakuen;"""listen... I Have to Say It.""";1422;-57;0,003;20260819
Don Miguelo;Y Qué Fue;1416;-295;0,266;20260819
The Killers;Mr. Brightside;1410;-543;1,843;20260819
Rutger Van Barneveld;Zwoele Zomernachten;1401;-153;0,095;20260819
Elevation Worship;God I'm Just Grateful;1395;-68;0,16;20260819
Chandler Moore;God I'm Just Grateful;1395;-68;0,16;20260819
Guns N' Roses;Sweet Child o' Mine;1389;-99;2,458;20260819
Bad Bunny;BAILE INoLVIDABLE;1383;-168;0,575;20260819
Zenar;Te conocí;1379;597;0,031;20260819
Dario Coiro;Te conocí;1379;597;0,031;20260819
The Beatles;Here Comes the Sun;1368;641;0,884;20260819
Enrico Nigiotti;Maledetti innamorati;1360;444;0,018;20260819
Coldplay;A Sky Full of Stars;1354;81;11,339;20260819
ATEEZ;BAD;1347;-424;0,126;20260819
Peter Maffay;Ein Leben lang ist nicht lang;1341;-398;0,054;20260819
Johannes Oerding;Ein Leben lang ist nicht lang;1341;-398;0,054;20260819
KO1KEYZ;KO1KEYZ;1341;-313;0,005;20260819
Return to Peace;Good day;1334;178;0,006;20260819
Diane Butler;I Miss You More;1326;834;0,01;20260819
KAROL G;BbY WOW;1323;290;0,008;20260819
Judeline;BbY WOW;1323;290;0,008;20260819
rusowsky;BbY WOW;1323;290;0,008;20260819
Bad Bunny;DtMF;1319;541;1,233;20260819
River Cain;Jesus On The Rocks;1315;-423;0,007;20260819
sakanaction;Yoru No Odoriko;1315;0;0,173;20260819
Jernblod;Run With The Wolves;1308;-286;0,01;20260819
Michael Jackson;Smooth Criminal;1301;262;0,606;20260819
SIENNA SPIRO;Great Expectation;1299;30;0,032;20260819
Cardi B;AH HA;1290;49;0,041;20260819
G Flip;Bed on Fire;1290;-87;0,2;20260819
Hikaru GENJI;Glass no Jyudai;1290;1290;0,001;20260819
Ado;Monstruo;1288;-80;0,023;20260819
Wasureranneyo;Nannmonee;1278;-35;0,056;20260819
BOYNEXTDOOR;Boom Boom Boom;1265;-931;0,003;20260819
Josh Fawaz;Like a Prayer;1261;-156;0,558;20260819
Florian Künstler;Ich wie du;1241;93;0,01;20260819
Creepy Nuts;Running Wheel;1241;887;0,002;20260819
River Cain;Mama's Boy;1240;-1247;0,015;20260819
Aiyana-Lee;Housebroken;1234;-1297;0,147;20260819
M!LK;Sukisugite METSU;1217;-24;0,373;20260819
Evanescence;Bring Me to Life;1209;238;1,705;20260819
EBiDAN Ebisu Gakuen Boys Club;Yes Tokyo;1193;-97;0,049;20260819
chotokkyu;Yes Tokyo;1193;-97;0,049;20260819
M!LK;Yes Tokyo;1193;-97;0,049;20260819
GNJB;Yes Tokyo;1193;-97;0,049;20260819
Zara Larsson;Lush Life;1185;198;2,939;20260819
Nash Blackwood;Love Me At My Lowest;1185;191;0,075;20260819
AI IRIE FM;No Stress, Just Vibes;1177;584;0,025;20260819
Dave;Raindance;1171;-189;0,463;20260819
Tems;Raindance;1171;-189;0,463;20260819
Hikaru GENJI;Paradise Ginga;1170;1170;0,001;20260819
Shaboozey;Cowgirl;1167;-232;0,191;20260819
Jahin Music;Your Phone Linging;1156;275;0,377;20260819
Lisa Gerrard;Now We Are Free;1145;243;0,503;20260819
Gavin Greenaway;Now We Are Free;1145;243;0,503;20260819
The Lyndhurst Orchestra;Now We Are Free;1145;243;0,503;20260819
Bruce Fowler;Now We Are Free;1145;243;0,503;20260819
Yvonne S. Moriarty;Now We Are Free;1145;243;0,503;20260819
Walt Fowler;Now We Are Free;1145;243;0,503;20260819
Ladd McIntosh;Now We Are Free;1145;243;0,503;20260819
Elizabeth Finch;Now We Are Free;1145;243;0,503;20260819
Jack Smalley;Now We Are Free;1145;243;0,503;20260819
Hans Zimmer;Now We Are Free;1145;243;0,503;20260819
Cameron Whitcomb;Kingdom of Fear;1143;-34;0,569;20260819
Noah Nine;A Man Can Cry;1132;-880;0,187;20260819
Teddy Swims;Lose Control;1132;177;7,521;20260819
Élise Noiret;Le Temps des Fleurs Fanées;1132;352;0,002;20260819
Hikaru GENJI;STAR LIGHT;1125;1125;0,001;20260819
Toto;Africa;1119;891;0,983;20260819
Noah Kahan;Orbiter;1115;158;0,086;20260819
Yung Miami;Spend Dat;1104;-86;0,065;20260819
Andreas Gabalier;UNA CANZONE PER TE;1089;558;0,069;20260819
Pietro Basile;UNA CANZONE PER TE;1089;558;0,069;20260819
Marconi Union;Weightless;1087;-254;0,23;20260819
LYRICFLOW81;Destino o follia;1083;-125;0,003;20260819
Hachiware(CV:Tanaka Makoto);Kutsuzure;1083;-110;0,032;20260819
Benson Boone;The Time Of My Life;1064;177;0,101;20260819
sumika;Umm;1062;1062;0,001;20260819
Tulus;Teh Hijau;1052;-20;0,047;20260819
Gospelize;Maladie;1046;493;0,044;20260819
Fleetwood Mac;Dreams;1045;198;1,585;20260819
Steve Lacy;oh yeah;1044;-453;0,025;20260819
Mack Geiger;Pouring;1043;971;0,002;20260819
