TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
FIGE3;33,00;;4,83;0,41;0,40;100,00;94,10;62,34;3,20;1,07;;;3,01;39.004,94;-0,40;;8,46;8,31;;0,98;0,02;0,13;31,76;36,54;0,00;80,70;6,83;0,15;26.140.092,00
FIGE4;0,00;;0,00;0,00;0,00;100,00;94,10;62,34;0,00;1,07;;;0,00;0,00;0,00;;8,46;8,31;;0,98;0,02;0,13;31,76;36,54;;80,70;6,83;0,00;26.140.092,00
FIQE3;5,87;11,32;10,51;2,00;0,77;51,33;28,14;17,91;6,69;7,60;0,91;0,27;1,88;5,10;-1,13;1,91;19,07;7,35;8,22;0,39;0,61;0,41;32,89;34,61;3.138.443,10;2,93;0,56;0,37;2.342.638.612,02
FLEX3;0,00;;0,00;0,00;0,00;19,49;-100,31;-141,80;0,00;-0,43;-0,43;;0,00;0,00;0,00;0,11;-81,00;-290,31;83,68;-3,58;4,58;2,05;-5,08;;;-132,45;-107,28;0,00;0,00
FLRY3;15,61;6,91;13,46;1,65;0,64;26,61;14,77;7,47;6,80;9,36;2,55;0,62;1,01;3,45;-0,98;2,14;12,25;4,76;10,28;0,39;0,60;0,64;22,78;19,83;27.777.408,32;9,47;1,16;11,63;8.541.651.915,86
FNCN3;14,25;;-0,04;0,03;0,00;-82,62;-98,66;-59,20;-0,02;-0,02;;;0,02;0,01;-0,02;1,56;-65,31;-10,62;;0,16;0,84;0,18;187,45;;;555,08;-362,52;0,00;13.021.336,50
FRAS3;21,21;3,35;23,48;2,47;0,85;32,43;12,54;4,68;8,77;10,90;2,13;0,60;1,10;3,14;-1,64;2,29;10,53;3,63;12,35;0,35;0,65;0,78;26,87;6,10;3.801.717,33;8,58;0,90;-1,03;5.945.907.280,11
FRIO3;205,00;;22,15;3,35;0,66;18,19;8,98;2,39;5,91;9,16;3,25;1,84;0,53;13,68;-2,08;1,08;15,11;2,96;17,22;0,20;0,77;1,24;10,70;;2.562,50;61,26;9,25;-0,06;1.308.387.285,00
FRTA3;1,31;;-0,49;-0,04;0,09;16,57;-16,43;-72,29;-2,17;-56,86;-54,68;;0,36;-0,03;-0,10;0,03;-7,17;-17,77;17,57;-2,48;3,48;0,25;7,62;;;-36,95;-2,65;-0,11;2.690.223,86
FTRT3B;0,00;;0,00;0,00;0,00;;;;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;-0,95;-0,90;-2,42;0,95;0,05;0,00;;;;0,01;0,00;0,00;0,00
