id_musica;musica;media_pontos;media_pts_ganho;total_pts_calc
01a02706-e024-7485-80f6-934e371aaaae;For us;2077.0;882.5;0.006
01a02706-e024-7485-80f6-934f812b0450;Sakura-iro Yell;1166.3333333333333;805.3333333333334;0.01
01a02706-e024-7485-80f6-93506f777dc5;We on Fire;1242.5;525.0;0.003
01a02706-e024-7485-80f6-93516226f055;桜色Yell;1177.0;1177.0;0.001
01a02706-e024-7485-80f6-935203870fca;SonoAide;1439.5;670.5;0.005
01a02706-e024-7485-80f6-935302aa832a;Heart of Rainbow;1756.0;516.0;0.006
01a02706-e024-7485-80f6-9354df9d2b15;Thinking Time;1338.0;549.5;0.005
01a02706-e024-7485-80f6-9355e1b89719;Burn Out to Nothing;1124.375;45.0;0.061
01a02706-e024-7485-80f6-9356a7fa1502;福气马上来;1255.5714285714287;197.28571428571428;0.108
01a02706-e024-7485-80f6-935702e3fc99;Nur dir gehör'n;1125.0;849.0;0.003
01a02706-e024-7485-80f6-9358787f4866;Bokuraga uwagakisurusekai;1385.3333333333333;270.6666666666667;0.033
01a02706-e024-7485-80f6-935930c5ce3e;Levitate ft Spice 1;1003.5;234.5;0.006
01a02706-e024-7485-80f6-935a3c2770ff;36Grad;1648.2857142857142;44.42857142857143;0.476
01a02706-e024-7485-80f6-935b49b905cd;Away from the Sun;1159.3333333333333;326.3333333333333;0.007
01a02706-e024-7485-80f6-935c776327ac;Be Like That;1469.0;613.5;0.005
01a02706-e024-7485-80f6-935d5d4a5e5e;Here Without You;5069.066666666667;87.66666666666667;6.322
01a02706-e024-7485-80f6-935e17059cc1;It's Not My Time;2537.3333333333335;191.66666666666666;0.254
01a02706-e024-7485-80f6-935fd9c527ce;Kryptonite;3768.9166666666665;99.0;3.774
01a02706-e024-7485-80f6-9360b7fefe5a;Let Me Go;1271.0;571.5;0.004
01a02706-e024-7485-80f6-93610290ee65;Loser;4668.0952380952385;245.8095238095238;1.405
01a02706-e024-7485-80f6-936284400805;When I'm Gone;2586.7;118.9;0.311
01a02706-e024-7485-80f6-9363d77ae564;Crashing Winners;1244.5;264.0;0.01
01a02706-e024-7485-80f6-93646d338d8f;What's Up;1779.109375;179.8125;81.464
01a02706-e024-7485-80f6-9365f10709e0;Bonita Bonita;1276.5333333333333;32.333333333333336;0.214
01a02706-e024-7485-80f6-9366f1963dc2;Dress code : Ultimate;1314.0;375.0;0.008
01a02706-e024-7485-80f6-93676aa10fb5;RASEN;1450.25;1179.0;0.009000000000000001
01a02706-e024-7485-80f6-936878768f5d;GekiyakuChudoku;1213.5;1213.5;0.018000000000000002
01a02706-e024-7485-80f6-93698fa1fb76;Koi, Hajimemashita.;1193.0;892.0;0.001
01a02706-e024-7485-80f6-936ac0ee76d5;モラトリアム;1040.0;1040.0;0.001
01a02706-e024-7485-80f6-936b97816fef;劇薬中毒;1236.0;1236.0;0.001
01a02706-e024-7485-80f6-936cdb79cbc1;11 Jecke;1300.6666666666667;87.66666666666667;0.216
01a02706-e024-7485-80f6-936d35d14572;ALWAYS LET YOU DOWN;2088.5;747.0;0.014
01a02706-e024-7485-80f6-936e996b4323;HELICOPTER;1217.0;1217.0;0.001
01a02706-e024-7485-80f6-936f73af09da;Helicopter$;2162.0;2162.0;0.002
01a02706-e024-7485-80f6-9370d9763c4b;Punk Rocky;1731.5714285714287;353.42857142857144;0.07100000000000001
01a02706-e024-7485-80f6-9371ba4deb09;Iconic;4016.6666666666665;146.33333333333334;0.10400000000000001
01a02706-e024-7485-80f6-93721011a967;You Got The Look;3085.5;1068.0;0.01
01a02706-e024-7485-80f6-93735849ac6e;Maji Magic;1151.5;531.0;0.003
01a02706-e024-7485-80f6-9374566a20b7;Last Call for Love;1260.0;814.0;0.002
01a02706-e024-7485-80f6-93755cd0da4c;Dancing Queen;1471.8;515.3142857142857;37.729
01a02706-e024-7485-80f6-937662d33384;Fernando;1054.0;0.0;0.059
01a02706-e024-7485-80f6-9377024d1f59;Gimme Gimme Gimme;1026.0;151.0;0.245
01a02706-e024-7485-80f6-9378c69f5586;Happy New Year;6980.0;-1775.6;3.529
01a02706-e024-7485-80f6-9379c9b8b6e0;The Winner Takes It All;1004.0;816.0;0.179
01a02706-e024-7485-80f6-937a74494885;Back In Black;1183.142857142857;675.5714285714286;7.503
01a02706-e024-7485-80f6-937b0e1f6c82;Highway to Hell;1165.8333333333333;582.5833333333334;23.16
01a02706-e024-7485-80f6-937cac3f7480;Skyfall;1565.8333333333333;574.1666666666666;32.9
01a02706-e024-7485-80f6-937db38a93f7;Awake Tonight;1921.6;254.4;0.096
01a02706-e024-7485-80f6-937eb71720da;RUN TO YOU;2500.0;1117.0;0.008
01a02706-e024-7485-80f6-937fe043932a;Sugar High;1514.3333333333333;396.3333333333333;0.009000000000000001
01a02706-e024-7485-80f6-93802ccad01f;No Stress, Just Vibes;1538.5;284.8333333333333;0.145
01a02706-e024-7485-80f6-9381c1055cbc;「紡ぐ日常」;1300.25;163.5;0.049
01a02706-e024-7485-80f6-938268eda2cc;アンビバレント;1265.5;310.25;0.013000000000000001
01a02706-e024-7485-80f6-938331a14edc;夢ノ聖火;1062.0;71.16666666666667;0.306
01a02706-e024-7485-80f6-9384180d3b50;Trying Hard Is Hard, So I Try Hard to Try Hard.;1041.0;1041.0;0.002
01a02706-e024-7485-80f6-9385a3eb5d4d;Ausgesorgt;1021.0;1021.0;0.003
01a02706-e024-7485-80f6-9386b4ed8a70;Nagorizakura;1034.0;660.0;0.001
01a02706-e024-7485-80f6-9387c29872fd;Sukish;1109.0;713.0;0.002
01a02706-e024-7485-80f6-9388a754c40f;FUNKIN' BEAUTIFUL;1104.0;1104.0;0.001
01a02706-e024-7485-80f6-938954336556;Cinnamon Shake;1138.0;1138.0;0.001
01a02706-e024-7485-80f6-938a885720f4;FREAK ALARM;2658.0;357.0;0.03
01a02706-e024-7485-80f6-938b3186b2e3;Raw Flame;1530.0;1530.0;0.002
01a02706-e024-7485-80f6-938c99ec5f99;BOH;1417.0;1417.0;0.001
01a02706-e024-7485-80f6-938d72b05659;Talk To You;3286.5661764705883;40.536764705882355;33.096000000000004
01a02706-e024-7485-80f6-938ee838f90c;A・RA・SHI;1149.7142857142858;-28.571428571428573;0.154
01a02706-e024-7485-80f6-938f1950082f;Five;1643.6521739130435;226.68478260869566;8.265
01a02706-e024-7485-80f6-9390545bbcf9;Guts;1059.1666666666667;71.66666666666667;0.089
01a02706-e024-7485-80f6-9391f1eab09e;Happiness;1352.6923076923076;318.53846153846155;0.551
01a02706-e024-7485-80f6-93929a246753;Love so Sweet;1369.9;-22.4;0.478
01a02706-e024-7485-80f6-939345b7f4cf;Lucky Man;1021.0;365.0;0.002
01a02706-e024-7485-80f6-939474df9190;Løve Rainbow;1100.0;148.75;0.014
01a02706-e024-7485-80f6-9395259e32df;Monster;1413.0;39.857142857142854;0.345
01a02706-e024-7485-80f6-93964e557030;One Love;1315.2857142857142;12.0;0.28099999999999997
01a02706-e024-7485-80f6-93977f0a7751;truth;1169.0;46.333333333333336;0.098
01a02706-e024-7485-80f6-9398ffcaf6ec;エナジーソング～絶好調超～;1083.0;264.5;0.005
01a02706-e024-7485-80f6-93991ae5b0aa;カイト;1184.8333333333333;-3.5;0.309
01a02706-e024-7485-80f6-939a052eb003;マイガール;1215.0;45.5;0.055
01a02706-e024-7485-80f6-939b32592731;感謝カンゲキ雨嵐;1313.0;-29.625;0.126
01a02706-e024-7485-80f6-939cfecf1427;果てない空;1055.0;111.33333333333333;0.037
01a02706-e024-7485-80f6-939d4491f118;迷宮ラブソング;1033.0;174.0;0.022
01a02706-e024-7485-80f6-939e0a2f6db4;LINK HEARTS;1430.0;1430.0;0.001
01a02706-e024-7485-80f6-939f281c70d2;Adrenaline;8008.571428571428;193.42857142857142;0.294
01a02706-e024-7485-80f6-93a0162393f1;BAD;2273.1785714285716;21.75;4.045
01a02706-e024-7485-80f6-93a1d0dc5b3d;Ghost;1617.5;502.5;0.005
01a02706-e024-7485-80f6-93a2b4557855;MAMACITA;1395.0;666.0;0.004
01a02706-e024-7485-80f6-93a3a731f681;NASA;2619.0;891.0;0.008
01a02706-e024-7485-80f6-93a467022bdb;On The Road;1683.0;625.5;0.005
01a02706-e024-7485-80f6-93a5a5124948;Round & Round;1107.0;304.0;0.006
01a02706-e024-7485-80f6-93a6a85392c4;Golden;10815.983527131782;-61.18895348837209;4558.463
01a02706-e024-7485-80f6-93a7bbbfbe8b;How It’s Done;1376.142857142857;726.7142857142857;23.17
01a02706-e024-7485-80f6-93a82dca1cdc;Takedown;1395.375;336.375;22.889999999999997
01a02706-e024-7485-80f6-93a9e92b9d0a;What It Sounds Like;1923.7317073170732;46.78048780487805;202.14
01a02706-e024-7485-80f6-93aaf98d2823;An deiner Seite;1305.0;231.75;0.014
01a02706-e024-7485-80f6-93abad0ab913;In My Arms;1010.0;1010.0;0.003
01a02706-e024-7485-80f6-93acacd76a49;Vertigo;1485.0;846.5;0.012
01a02706-e024-7485-80f6-93ad14edf13c;Waiting For;1162.0;1162.0;0.001
01a02706-e024-7485-80f6-93aed2c62c08;Renn;1651.75;194.125;0.07300000000000001
01a02706-e024-7485-80f6-93afb120a733;Saikyo Mirai Shodo;1083.0;1083.0;0.002
01a02706-e024-7485-80f6-93b0389b8f0b;NOBODY;1216.923076923077;81.23076923076923;0.567
01a02706-e024-7485-80f6-93b1c0c027af;The Door;2043.7899159663866;162.89915966386553;446.769
01a02706-e024-7485-80f6-93b232aebf42;Pity the Child;1548.5;563.0;0.01
01a02706-e024-7485-80f6-93b30b502785;Same Here;1104.0;1104.0;0.001
01a02706-e024-7485-80f6-93b4049c1736;Alhamdullilah;1571.0;1259.0;0.002
01a02706-e024-7485-80f6-93b57f61d5eb;Kâbe'de Hacılar;1504.3333333333333;193.0;0.028
01a02706-e024-7485-80f6-93b6eec38288;Betty's in the Band;1196.5;587.5;0.006
01a02706-e024-7485-80f6-93b79a325b68;If You Can't Find Hope;2033.8333333333333;282.6666666666667;0.043
01a02706-e024-7485-80f6-93b82d51336c;Thunderstruck;2552.542713567839;20.502512562814072;804.983
01a02706-e024-7485-80f6-93b9787d3276;Balls to the Wall;1449.5;471.0;0.005
01a02706-e024-7485-80f6-93badcc56203;Save Us;2659.0;793.0;0.009000000000000001
01a02706-e024-7485-80f6-93bbf0ae215e;總有一顆屬於你的星球;1064.0;596.5;0.008
01a02706-e024-7485-80f6-93bc8f199beb;AMOR;1179.5;312.6666666666667;1.092
01a02706-e024-7485-80f6-93bd9be72a94;Che tesoro che sei;1224.0;455.0;0.004
01a02706-e024-7485-80f6-93bedf5167b4;In Viaggio Verso Il Paradiso;1220.4285714285713;237.14285714285714;0.048
01a02706-e024-7485-80f6-93bf4a329b41;Incoscienti Giovani;3493.75;307.25;0.815
01a02706-e024-7485-80f6-93c07a97f03a;Perdutamente;1574.25;141.55555555555554;2.444
01a02706-e024-7485-80f6-93c19d4c0b18;AM I OK;2675.75;57.0;0.037
01a02706-e024-7485-80f6-93c251fa9780;UNDER THE RHYTHM;2437.3333333333335;875.0;0.013000000000000001
01a02706-e024-7485-80f6-93c3027d2c80;His to Mine;1914.4;280.2;0.032
01a02706-e024-7485-80f6-93c4d89f730e;Easy On Me;1278.0;1215.0;3.656
01a02706-e024-7485-80f6-93c5ed2f636f;Rolling In the Deep;1071.3333333333333;532.6666666666666;51.669
01a02706-e024-7485-80f6-93c6b8b97436;Send My Love;1237.0;909.0;2.361
01a02706-e024-7485-80f6-93c703a5972a;Classique;1057.8;213.8;0.056
01a02706-e024-7485-80f6-93c8cca43635;Mon Amour;1171.7777777777778;203.15873015873015;3.335
01a02706-e024-7485-80f6-93c9796bbb7e;Alakh Niranjan;1067.5;275.5;0.053
01a02706-e024-7485-80f6-93cac744d98d;AiAiA;1768.3333333333333;138.55555555555554;0.091
01a02706-e024-7485-80f6-93cb73daeab0;Angelseek;1369.0;202.83333333333334;0.03
01a02706-e024-7485-80f6-93cc059c5797;KIRA;1533.888888888889;82.0;0.078
01a02706-e024-7485-80f6-93cd165350bb;Love me forever;1405.111111111111;111.33333333333333;0.069
01a02706-e024-7485-80f6-93ceba9cfbec;Monstruo;1733.7142857142858;82.42857142857143;0.203
01a02706-e024-7485-80f6-93cffa236e85;Odoru Ponpokorin;1281.6;-97.4;0.037
01a02706-e024-7485-80f6-93d0db3040cf;Vivarium;2258.9285714285716;94.14285714285714;0.277
01a02706-e024-7485-80f6-93d127619180;DEKOBOKO LIFE;1392.0;153.07142857142858;0.263
01a02706-e024-7485-80f6-93d2763047ce;PRIDE;1204.0;782.3333333333334;0.004
01a02706-e024-7485-80f6-93d3efcfc089;Dream On;1109.5;502.0;0.9
01a02706-e024-7485-80f6-93d4f388f73e;My Only Angel;1096.0;343.1666666666667;3.4619999999999997
01a02706-e024-7485-80f6-93d5c70d9bfa;I don’t chase I attract;2081.0;504.75;0.039
01a02706-e024-7485-80f6-93d6cca685d8;Meisje;1260.6666666666667;469.3333333333333;0.028
01a02706-e024-7485-80f6-93d7a7a44f9d;Carry me home;1256.0;944.0;0.008
01a02706-e024-7485-80f6-93d8ad5fc345;Papaoutai;5766.945031712474;262.25581395348837;301.903
01a02706-e024-7485-80f6-93d973249df5;Lemon Pound Cake;1196.2;243.2;0.017
01a02706-e024-7485-80f6-93daf6555442;Melissa I'M Drunk And Outside;1295.0;89.66666666666667;0.048
01a02706-e024-7485-80f6-93dbb704144d;People;3021.6;178.8;0.749
01a02706-e024-7485-80f6-93dccfc85d6e;Shine;1681.2558139534883;177.48837209302326;0.476
01a02706-e024-7485-80f6-93dd7ee1a8d2;Live to Survive;1235.0;178.71428571428572;0.038
01a02706-e024-7485-80f6-93de83c43b04;ai no hana;1021.0;1021.0;0.234
01a02706-e024-7485-80f6-93dfec2edda2;Blue Shining Star;1135.3333333333333;32.0;0.012
01a02706-e024-7485-80f6-93e03b032e93;Luminous;1246.65;161.95;0.255
01a02706-e024-7485-80f6-93e14e9ca6fb;On The Way;1291.78125;178.703125;17.658
01a02706-e024-7485-80f6-93e27c302645;Ruby on the edge;1167.25;260.25;0.024
01a02706-e024-7485-80f6-93e390c03188;Alive After Death;1637.5;174.0;0.007
01a02706-e024-7485-80f6-93e482a9820c;Here She Comes;5500.333333333333;733.0;0.04
01a02706-e024-7485-80f6-93e5c03d0e4b;Kid In A Candy Store;3820.0;283.25;0.049
01a02706-e024-7485-80f6-93e64210bac6;una voz;1062.0;520.0;0.3
01a02706-e024-7485-80f6-93e75acbc69a;6 DE FEBRERO;1045.0;320.0;0.124
01a02706-e024-7485-80f6-93e8f704ca5d;SUPERESTRELLA;1464.4657534246576;29.958904109589042;34.524
01a02706-e024-7485-80f6-93e92f8f833b;RMB;1377.16;326.56;0.834
01a02706-e024-7485-80f6-93eafaef49d7;Unsteady;1265.0;1265.0;0.006
01a02706-e024-7485-80f6-93ebc59da8eb;Housebroken;3996.1875;202.59375;2.881
01a02706-e024-7485-80f6-93ece441c39c;Poesie Clandestine;1372.2857142857142;115.85714285714286;0.084
01a02706-e024-7485-80f6-93edb4bdc727;〜↑↑ -KARAAGE-;1188.5;531.0;0.003
01a02706-e024-7485-80f6-93eeac807a69;Years have passed;1432.090909090909;5.454545454545454;0.139
01a02706-e024-7485-80f6-93ef5205b524;Designated Drinker;1059.0;1059.0;0.001
01a02706-e024-7485-80f6-93f04860a37d;Remember When;2126.0;181.16666666666666;0.542
01a02706-e024-7485-80f6-93f1514bd341;Still The One;1337.8;126.4;0.023
01a02706-e024-7485-80f6-93f299030538;FATE;1454.0;1231.5;0.012
01a02706-e024-7485-80f6-93f37c8b16bd;Headlights;1234.0;559.8;2.214
01a02706-e024-7485-80f6-93f42ac8dc9c;Uninvited;1618.75;263.0;0.204
01a02706-e024-7485-80f6-93f562a844aa;Sé esa mujer valiente;1138.0;215.0;0.005
01a02706-e024-7485-80f6-93f654e5e2a9;Sitting Down Here;1044.0;280.0;0.002
01a02706-e024-7485-80f6-93f73be52e3f;Sin Despedida;1230.5;555.0;0.006
01a02706-e024-7485-80f6-93f8f56de2bc;Cuéntame;1372.6666666666667;167.66666666666666;0.064
01a02706-e024-7485-80f6-93f94c0b8dda;Yo Era Poesía;1478.0;323.25;0.032
01a02706-e024-7485-80f6-93fa7a52a349;HIT PARADE;1087.0;1087.0;0.002
01a02706-e024-7485-80f6-93fbce2167d1;Scars to Your Beautiful;2984.5;1344.0;2.527
01a02706-e024-7485-80f6-93fc890bbfd1;FADE;1667.5;748.0;0.01
01a02706-e024-7485-80f6-93fd48b711ba;In Your Eyes;1481.0;572.0;0.01
01a02706-e024-7485-80f6-93feb15ece91;Club Bizarre;1199.0;592.0;0.008
01a02706-e024-7485-80f6-93ff94d8c350;Energy;1321.0714285714287;227.92857142857142;0.366
01a02706-e024-7485-80f6-9400c4034f10;Bloodline;1362.2;343.2;3.142
01a02706-e024-7485-80f6-9401ce722749;Carry You Home;1253.4375;290.9375;16.858999999999998
01a02706-e024-7485-80f6-940201e7789e;Eternity;1818.5555555555557;171.75;6.752
01a02706-e024-7485-80f6-94039db25a4e;FEVER DREAM;7551.395833333333;51.09722222222222;106.609
01a02706-e024-7485-80f6-9404905e9fa7;FINE PLACE TO DIE;2565.6666666666665;747.0;0.149
01a02706-e024-7485-80f6-940543d486f2;Ordinary;8611.73631840796;-40.22885572139303;1073.41
01a02706-e024-7485-80f6-940684b99b14;PASSENGER;2125.75;198.92857142857142;1.19
01a02706-e024-7485-80f6-94073b371fc2;RESCUER;4490.857142857143;241.28571428571428;0.145
01a02706-e024-7485-80f6-9408a7cd26a3;Medizin;1327.0;1327.0;0.002
01a02706-e024-7485-80f6-94095725a16f;Nimm das Leben nicht zu ernst;1244.5;703.0;0.006
01a02706-e024-7485-80f6-940aae58f02f;Von Mann zu Mann;1310.0;356.0;0.002
01a02706-e024-7485-80f6-940b98539dbb;Rent Free;1317.0;495.5;0.01
01a02706-e024-7485-80f6-940c97411e0b;Buon Vento;1184.875;220.875;0.418
01a02706-e024-7485-80f6-940debc55865;Märchen;1223.0;1223.0;0.001
01a02706-e024-7485-80f6-940e951a96c6;Empire State of Mind, Pt. 2;1417.0;1258.0;2.314
01a02706-e024-7485-80f6-940f8f56f891;Checkmate;1097.0;998.0;0.002
01a02706-e024-7485-80f6-9410d03f7ba3;Freund & Feind;1181.0;537.0;0.003
01a02706-e024-7485-80f6-9411b81c3887;Baby Goodbye;1155.111111111111;411.77777777777777;0.252
01a02706-e024-7485-80f6-941259a8710d;Lost in Time;1150.3333333333333;70.0;0.018000000000000002
01a02706-e024-7485-80f6-94139df501b2;Ein Herz kann man nicht reparieren;1394.0;1394.0;0.001
01a02706-e024-7485-80f6-9414c92472c7;Prologue;1152.0;1152.0;0.004
01a02706-e024-7485-80f6-94158dc849a3;Vida Mía;1066.0;1021.0;0.006
01a02706-e024-7485-80f6-9416d50acc8b;Bokura wa Ima no Naka de;1083.0;1083.0;0.005
01a02706-e024-7485-80f6-9417732a5d75;VOLTAGE;1382.0;405.6666666666667;0.112
01a02706-e024-7485-80f6-941831f1e669;You Aim A;1265.0;1265.0;0.008
01a02706-e024-7485-80f6-94192ebd1b0e;Everything's Fine;2498.25;400.5;0.056
01a02706-e024-7485-80f6-941abda39acc;Run Run River;4780.6134453781515;40.865546218487395;52.801
01a02706-e024-7485-80f6-941babf1efea;Forever Young;1580.2978723404256;114.55319148936171;116.937
01a02706-e024-7485-80f6-941c76870791;Scales Are Falling;6115.75;542.5;0.063
01a02706-e024-7485-80f6-941d11bfd28b;Dissonance Eden;927.0;927.0;0.001
01a02706-e024-7485-80f6-941eabe319be;California Dreamin';1372.0;1372.0;0.001
01a02706-e024-7485-80f6-941f18bf046d;j'me demande;1605.0;230.6;0.027
01a02706-e024-7485-80f6-942092cfe8bb;Pourquoi tu restes;1164.142857142857;462.7142857142857;0.512
01a02706-e024-7485-80f6-94216a3198b8;Gjallarhorn;2889.0;413.5;0.012
01a02706-e024-7485-80f6-9422717400c8;Upphaf;1562.0;525.0;0.017
01a02706-e024-7485-80f6-9423451c3969;How Do We Get There From Here;1776.0;1776.0;0.002
01a02706-e024-7485-80f6-9424b1267d74;The 6th Of January;1219.0;354.3333333333333;0.008
01a02706-e024-7485-80f6-9425ab0f30fe;It's Kinda Hot;1524.0;512.0;0.005
01a02706-e024-7485-80f6-94264fa51c8e;Our Last Fight;1062.0;1062.0;0.001
01a02706-e024-7485-80f6-9427263e3f1f;The Biggest Dick;1254.918918918919;59.648648648648646;1.157
01a02706-e024-7485-80f6-942873996ad9;Back to Black;1020.0;201.0;1.043
01a02706-e024-7485-80f6-94293fec9d71;King of Hearts;1444.25;304.25;0.015
01a02706-e024-7485-80f6-942a9a4ff55e;I'm Outta Love;1104.0;1086.0;0.056
01a02706-e024-7485-80f6-942b92d2b1de;Keychain;1482.5;681.0;0.01
01a02706-e024-7485-80f6-942c7936ab7d;WIR SIND DIE DEUTSCHEN;1104.0;309.0;0.024
01a02706-e024-7485-80f6-942deaa5d6aa;ALL THE LOVE;1233.4;219.4;0.054
01a02706-e024-7485-80f6-942e4f3f5e3f;Das kann uns keiner nehmen;1764.25;264.5;0.02
01a02706-e024-7485-80f6-942f4638773a;Con te partiro;1190.0;1003.0;0.086
01a02706-e024-7485-80f6-943092ccd1f5;DNA;4249.373333333333;66.62666666666667;17.358
01a02706-e024-7485-80f6-943184743617;Nelle tue mani;3611.5;1257.5;0.012
01a02706-e024-7485-80f6-9432e68320e5;"Turandot: ""Nessun dorma""";1305.0;605.5;0.016
01a02706-e024-7485-80f6-94337239d02d;Turandot: Nessun dorma;2737.3333333333335;430.3333333333333;0.112
01a02706-e024-7485-80f6-94345a3b65b3;Auf uns;1161.75;640.25;4.356
